platform_dir,platform,file,device,backend,model,precision,prompt_length,ttft_ms_median,decode_ms_median,throughput_median,total_ms_median
windows_3070,windows_3070,tinyllama_q8_cuda.json,cuda,pytorch,tinyllama,q8,512,217.90361785888672,106.92556762695312,9.218797337672335,13873.42578125
windows_3070,windows_3070,tinyllama_q8_cuda.json,cuda,pytorch,tinyllama,q8,1024,372.5117492675781,106.61580657958984,9.206900848662832,13902.615234375
m4pro_cpu,m4pro_cpu,tinyllama_q8_cpu_gguf.json,cpu,llama.cpp,tinyllama,q8,32,62.874207999999996,12.987042,74.42200305404876,1719.921458
m4pro_cpu,m4pro_cpu,tinyllama_q8_cpu_gguf.json,cpu,llama.cpp,tinyllama,q8,64,116.319875,12.987333,72.32012809999897,1769.9086459999999
m4pro_cpu,m4pro_cpu,tinyllama_q8_cpu_gguf.json,cpu,llama.cpp,tinyllama,q8,128,219.325375,12.9628745,68.37439737177039,1872.04575
m4pro_cpu,m4pro_cpu,tinyllama_q8_cpu_gguf.json,cpu,llama.cpp,tinyllama,q8,256,426.877208,13.5022085,59.413000486017765,2154.425271
m4pro_cpu,m4pro_cpu,tinyllama_q8_cpu_gguf.json,cpu,llama.cpp,tinyllama,q8,512,960.221709,13.9460005,46.75522114805746,2737.662166
m4pro_cpu,m4pro_cpu,tinyllama_q8_cpu_gguf.json,cpu,llama.cpp,tinyllama,q8,1024,2145.024375,14.694333499999999,31.826735253281136,4021.776
m4pro_cpu,m4pro_cpu,tinyllama_q4_cpu_gguf.json,cpu,llama.cpp,tinyllama,q4,32,75.752875,9.219375,102.0597096201569,1254.1680835000002
m4pro_cpu,m4pro_cpu,tinyllama_q4_cpu_gguf.json,cpu,llama.cpp,tinyllama,q4,64,142.814312,9.212541,97.18168574441185,1317.121833
m4pro_cpu,m4pro_cpu,tinyllama_q4_cpu_gguf.json,cpu,llama.cpp,tinyllama,q4,128,272.91447949999997,9.213833,88.26426597057421,1450.1905
m4pro_cpu,m4pro_cpu,tinyllama_q4_cpu_gguf.json,cpu,llama.cpp,tinyllama,q4,256,534.4853545000001,9.734,71.92072392505821,1779.7374375
m4pro_cpu,m4pro_cpu,tinyllama_q4_cpu_gguf.json,cpu,llama.cpp,tinyllama,q4,512,1162.393083,10.1644585,51.97488313462235,2462.728104
m4pro_cpu,m4pro_cpu,tinyllama_q4_cpu_gguf.json,cpu,llama.cpp,tinyllama,q4,1024,2595.3942079999997,10.908813,31.96543031653411,4004.335146
m4pro_cpu,m4pro_cpu,tinyllama_fp16_cpu.json,cpu,pytorch,tinyllama,fp16,32,294.450666,36.653875,25.886838537247314,4944.597667
m4pro_cpu,m4pro_cpu,tinyllama_fp16_cpu.json,cpu,pytorch,tinyllama,fp16,64,634.052708,37.080708,23.727622326203736,5394.5570625
m4pro_cpu,m4pro_cpu,tinyllama_fp16_cpu.json,cpu,pytorch,tinyllama,fp16,128,1299.12975,38.865625,20.49670823442225,6244.905208
m4pro_cpu,m4pro_cpu,tinyllama_fp16_cpu.json,cpu,pytorch,tinyllama,fp16,256,2632.3183755,41.066041999999996,16.14683583245768,7927.4301455
m4pro_cpu,m4pro_cpu,tinyllama_fp16_cpu.json,cpu,pytorch,tinyllama,fp16,512,5404.154792,45.653645499999996,11.42523924110653,11203.267416
m4pro_cpu,m4pro_cpu,tinyllama_fp16_cpu.json,cpu,pytorch,tinyllama,fp16,1024,11350.658395499999,54.958437,6.965422561491218,18376.540375
windows_cpu,windows_cpu,tinyllama_q8_cpu_gguf.json,cpu,llama.cpp,tinyllama,q8,32,260.1972,40.0317,23.747975039713907,5389.93725
windows_cpu,windows_cpu,tinyllama_q8_cpu_gguf.json,cpu,llama.cpp,tinyllama,q8,64,530.1474499999999,39.9978,22.69851048789821,5639.1366
windows_cpu,windows_cpu,tinyllama_q8_cpu_gguf.json,cpu,llama.cpp,tinyllama,q8,128,992.859,40.0157,20.964002235395228,6105.70485
windows_cpu,windows_cpu,tinyllama_q8_cpu_gguf.json,cpu,llama.cpp,tinyllama,q8,256,2320.18185,42.813199999999995,16.432410541092814,7791.7202
windows_cpu,windows_cpu,tinyllama_q8_cpu_gguf.json,cpu,llama.cpp,tinyllama,q8,512,4358.711300000001,42.2499,13.04536319177803,9801.769250000001
windows_cpu,windows_cpu,tinyllama_q8_cpu_gguf.json,cpu,llama.cpp,tinyllama,q8,1024,9152.76485,43.6079,8.506332589137775,15047.6129
windows_cpu,windows_cpu,tinyllama_q4_cpu_gguf.json,cpu,llama.cpp,tinyllama,q4,32,173.5889,25.931649999999998,35.8579693564278,3570.5135
windows_cpu,windows_cpu,tinyllama_q4_cpu_gguf.json,cpu,llama.cpp,tinyllama,q4,64,348.0399,27.759700000000002,32.81767364523373,3900.34155
windows_cpu,windows_cpu,tinyllama_q4_cpu_gguf.json,cpu,llama.cpp,tinyllama,q4,128,686.04465,27.688450000000003,30.27727956277716,4227.5925
windows_cpu,windows_cpu,tinyllama_q4_cpu_gguf.json,cpu,llama.cpp,tinyllama,q4,256,1384.0203999999999,28.95335,25.122949637479657,5094.94505
windows_cpu,windows_cpu,tinyllama_q4_cpu_gguf.json,cpu,llama.cpp,tinyllama,q4,512,3043.391,30.322699999999998,18.479366697088807,6926.6443
windows_cpu,windows_cpu,tinyllama_q4_cpu_gguf.json,cpu,llama.cpp,tinyllama,q4,1024,6764.65395,32.795,11.646856289194572,10990.0901
windows_cpu,windows_cpu,tinyllama_fp16_cpu.json,cpu,pytorch,tinyllama,fp16,32,30370.3415,1022.5953,0.7979320411833614,160414.66455
windows_cpu,windows_cpu,tinyllama_fp16_cpu.json,cpu,pytorch,tinyllama,fp16,64,59121.1572,1022.3049,0.6767573020333758,189137.2278
windows_cpu,windows_cpu,tinyllama_fp16_cpu.json,cpu,pytorch,tinyllama,fp16,128,116252.9261,1028.6601,0.5185559451507977,246839.34685
windows_cpu,windows_cpu,tinyllama_fp16_cpu.json,cpu,pytorch,tinyllama,fp16,256,230945.34694999998,1037.08075,0.3529195367283008,362688.90455
windows_cpu,windows_cpu,tinyllama_fp16_cpu.json,cpu,pytorch,tinyllama,fp16,512,461723.1193,1061.2474,0.21453866173701874,596629.0596
windows_cpu,windows_cpu,tinyllama_fp16_cpu.json,cpu,pytorch,tinyllama,fp16,1024,956720.3916,1122.6961999999999,0.11637004238145109,1099952.88015
colab_t4,colab_t4,tinyllama_fp16_cuda.json,cuda,pytorch,tinyllama,fp16,32,28.341599464416504,24.61660861968994,39.23969440677634,3262.0838623046875
colab_t4,colab_t4,tinyllama_fp16_cuda.json,cuda,pytorch,tinyllama,fp16,64,28.26263999938965,24.085200309753418,39.6497997102273,3228.2740478515625
colab_t4,colab_t4,tinyllama_fp16_cuda.json,cuda,pytorch,tinyllama,fp16,128,30.544976234436035,24.006400108337402,39.876632268924936,3209.9178466796875
colab_t4,colab_t4,tinyllama_fp16_cuda.json,cuda,pytorch,tinyllama,fp16,256,40.30803298950195,23.80179214477539,40.16935420937182,3186.5123291015625
colab_t4,colab_t4,tinyllama_fp16_cuda.json,cuda,pytorch,tinyllama,fp16,512,102.30989074707031,23.8703670501709,39.504103446180885,3240.1878662109375
